B;C;D;E;F
06/12/2015;DG#21;33104;6934;209,46
06/12/2015;DG#22;0;0;#DIV/0!
06/12/2015;DG#23;158528;33368;210,49
07/12/2015;DG#01;0;2;#DIV/0!
07/12/2015;DG#02;0;0;#DIV/0!
07/12/2015;DG#03;0;4;#DIV/0!
07/12/2015;DG#04;0;0;#DIV/0!
07/12/2015;DG#05;0;0;#DIV/0!
07/12/2015;DG#06;0;0;#DIV/0!
07/12/2015;DG#07;0;0;#DIV/0!
07/12/2015;DG#08;0;0;#DIV/0!
07/12/2015;DG#09;0;0;#DIV/0!
07/12/2015;DG#10;0;0;#DIV/0!
07/12/2015;DG#11;0;0;#DIV/0!
07/12/2015;DG#12;0;2;#DIV/0!
07/12/2015;DG#13;0;0;#DIV/0!
07/12/2015;DG#14;0;0;#DIV/0!
07/12/2015;DG#15;0;0;#DIV/0!
07/12/2015;DG#16;0;0;#DIV/0!
07/12/2015;DG#17;0;0;#DIV/0!
07/12/2015;DG#18;208928;44472;212,86
07/12/2015;DG#19;204480;42372;207,22
07/12/2015;DG#20;0;0;#DIV/0!
07/12/2015;DG#21;0;0;#DIV/0!
07/12/2015;DG#22;0;0;#DIV/0!
07/12/2015;DG#23;191456;40126;209,58
08/12/2015;DG#01;0;0;#DIV/0!
08/12/2015;DG#02;0;0;#DIV/0!
08/12/2015;DG#03;0;0;#DIV/0!
08/12/2015;DG#04;0;0;#DIV/0!
08/12/2015;DG#05;0;0;#DIV/0!
08/12/2015;DG#06;0;0;#DIV/0!
08/12/2015;DG#07;0;0;#DIV/0!
08/12/2015;DG#08;0;0;#DIV/0!
08/12/2015;DG#09;0;0;#DIV/0!
08/12/2015;DG#10;0;0;#DIV/0!
08/12/2015;DG#11;0;0;#DIV/0!
08/12/2015;DG#12;0;0;#DIV/0!
08/12/2015;DG#13;0;0;#DIV/0!
08/12/2015;DG#14;0;0;#DIV/0!
08/12/2015;DG#15;0;0;#DIV/0!
08/12/2015;DG#16;0;0;#DIV/0!
08/12/2015;DG#17;0;0;#DIV/0!
08/12/2015;DG#18;208920;44506;213,03
08/12/2015;DG#19;204472;42416;207,44
08/12/2015;DG#20;0;0;#DIV/0!
